Medical_Term,Frequency
presents,503
recurrent,503
needed,501
non,501
questions,500
resection,500
mouth,499
visualization,499
equal,499
rest,498
specimen,498
secured,498
sharp,497
activity,497
achieved,496
tear,495
tip,493
throat,493
cough,491
compression,491
across,488
aorta,488
grade,487
scope,486
include,486
likely,485
carpal,485
third,484
recently,484
primary,484
every,483
subcuticular,479
directed,479
round,479
vaginal,479
stomach,479
visual,478
completely,478
cuff,477
speech,477
demonstrated,476
bovie,476
described,475
palpable,473
reflexes,473
quadrant,473
much,473
better,471
drain,470
common,469
eyes,468
gait,467
injection,467
stated,467
obstruction,466
confirmed,466
returned,466
pulses,465
uterine,464
stress,463
quite,463
diet,462
father,462
standard,461
branch,460
results,458
minute,458
visit,457
plantar,456
urinary,456
gallbladder,455
patent,455
divided,453
complaints,452
manner,452
unit,452
plate,450
pupils,449
few,449
stage,449
incised,446
facial,445
cautery,445
extended,445
reactive,444
based,444
rectal,444
creatinine,443
prolene,443
evaluated,442
epinephrine,442
disk,442
entire,440
headaches,440
main,440
sac,437
explained,437
hemoglobin,437
went,436
little,435
nylon,435
take,435
units,435
fat,435
related,434
clinical,432
sided,432
improved,432
entered,431
appear,431
screw,428
process,427
consultation,426
below,426
nerves,426
depression,425
report,424
diagnosed,424
began,424
child,423
therefore,423
capsule,423
you,422
adhesions,421
new,421
grossly,420
foley,420
physician,418
reduction,418
before,418
such,418
blunt,418
layer,418
recommended,417
five,415
abcd,415
marked,414
carcinoma,413
monocryl,411
via,411
single,411
temporal,410
pleasant,409
feet,409
grasped,409
diarrhea,409
images,407
irrigation,406
short,406
drainage,406
ekg,406
peripheral,406
similar,406
bed,406
palpation,405
created,405
fixation,404
erythema,404
saw,404
scalpel,403
tunnel,402
insertion,402
utilizing,401
testing,400
later,400
sensation,400
initial,399
vessels,399
guidewire,398
repeat,398
fibrillation,396
regarding,396
partial,395
disorder,395
counts,394
numbness,394
management,394
help,393
distally,392
remaining,391
diagnostic,391
cervix,391
pregnancy,391
controlled,390
addition,390
neurological,389
decompression,389
twice,387
except,386
inguinal,386
intraoperative,386
balloon,386
lives,386
ligated,385
cranial,384
remove,384
musculoskeletal,384
deformity,383
enlarged,382
bony,382
lymphadenopathy,382
effusion,381
nodes,381
face,381
defect,380
mom,380
silk,378
aspirin,378
vertebral,377
half,377
degenerative,377
respirations,376
antibiotic,376
hour,376
oxygen,376
came,375
clamp,375
laparoscopic,374
steri,373
potassium,372
degree,372
root,372
way,371
cyanosis,371
gross,370
psychiatric,370
proximally,369
chamber,368
retracted,368
asked,368
suite,368
stitch,368
normocephalic,367
appearing,367
section,367
excised,367
